City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
120,Lahij,YE,13.1667,44.5833,75.15,59,8,3.44,clear sky
121,Maxixe,MZ,-23.8597,35.3472,70.32,72,98,12.59,light rain
122,Namibe,AO,-15.1961,12.1522,68.04,65,89,9.86,overcast clouds
123,Qaanaaq,GL,77.484,-69.3632,21.15,95,100,9.86,overcast clouds
124,Inirida,CO,3.8653,-67.9239,72.3,98,94,2.48,overcast clouds
125,Dudinka,RU,69.4058,86.1778,-10.25,100,94,2.86,overcast clouds
126,Brigantine,US,39.4101,-74.3646,59.05,77,40,8.05,scattered clouds
127,Praia Da Vitoria,PT,38.7333,-27.0667,66.45,82,40,12.86,scattered clouds
128,Halifax,CA,44.6453,-63.5724,48.47,93,100,8.99,overcast clouds
129,Mandali,IQ,33.7499,45.5541,72.57,23,1,7.14,clear sky
130,Aswan,EG,24.0934,32.907,77.67,33,0,8.3,clear sky
131,Arlit,NE,18.7369,7.3853,80.28,14,6,5.12,clear sky
132,Ambovombe,MG,-25.1667,46.0833,66.67,73,100,19.08,light rain
133,Cockburn Town,TC,21.4612,-71.1419,82.58,69,19,0.43,few clouds
134,Plouzane,FR,48.3833,-4.6167,59.09,94,90,13.8,overcast clouds
135,Laguna,US,38.421,-121.4238,68.94,74,1,4.0,clear sky
136,Kisangani,CD,0.5167,25.2,69.51,99,100,1.43,overcast clouds
137,Dombarovskiy,RU,50.7587,59.5386,29.97,61,37,12.12,scattered clouds
138,Inhambane,MZ,-23.865,35.3833,71.04,71,98,14.18,light rain
139,Road Town,VG,18.4167,-64.6167,82.49,64,0,11.5,clear sky
140,Itai,BR,-23.4178,-49.0906,65.1,96,100,11.25,overcast clouds
141,Emba,KZ,48.8264,58.1442,30.22,49,29,6.6,scattered clouds
142,Yuzhne,UA,46.6221,31.1013,37.62,70,21,8.9,few clouds
143,Eyl,SO,7.9803,49.8164,76.71,82,10,6.98,clear sky
144,Ravar,IR,31.2656,56.8055,52.54,36,78,2.01,broken clouds
145,Sao Filipe,CV,14.8961,-24.4956,78.82,78,100,8.25,overcast clouds
146,Ngara,TZ,-2.5122,30.6558,58.03,90,99,1.88,light rain
147,Trincomalee,LK,8.5711,81.2335,78.91,80,100,6.98,overcast clouds
148,Hofn,IS,64.2539,-15.2082,39.22,87,90,5.75,overcast clouds
149,Upata,VE,8.0086,-62.3989,70.27,98,100,3.15,overcast clouds
150,Cidreira,BR,-30.1811,-50.2056,67.62,91,0,12.71,clear sky
151,Kuito,AO,-12.3833,16.9333,59.0,86,74,1.61,light rain
152,Melilla,ES,35.2937,-2.9383,64.78,82,75,6.91,broken clouds
153,Morondava,MG,-20.2833,44.2833,71.6,85,1,12.26,clear sky
154,Saint-Georges,GD,12.0564,-61.7485,82.08,78,75,10.36,broken clouds
155,Pervoavgustovskiy,RU,52.2264,35.0552,40.96,90,100,11.25,light rain
156,Barkhan,PK,29.8977,69.5256,58.57,41,0,2.33,clear sky
157,Xuddur,SO,4.1213,43.8894,70.95,88,0,7.85,clear sky
158,Korla,CN,41.7597,86.1469,48.11,42,0,3.06,clear sky
159,Grindavik,IS,63.8424,-22.4338,37.87,81,0,11.5,clear sky
160,Praia,CV,14.9215,-23.5087,79.34,78,75,17.27,broken clouds
161,Tenancingo,MX,19.1472,-98.1806,57.51,90,5,3.83,clear sky
162,Ngaoundere,CM,7.3167,13.5833,65.62,91,99,2.08,light rain
163,Longyearbyen,SJ,78.2186,15.6401,21.04,68,75,8.05,broken clouds
164,Nevel,RU,56.0209,29.9284,51.28,90,100,12.53,overcast clouds
165,Cap Malheureux,MU,-19.9842,57.6142,70.47,74,0,1.01,clear sky
166,Saint-Pierre,RE,-21.3393,55.4781,71.24,65,0,8.05,clear sky
167,Puerto Madryn,AR,-42.7692,-65.0385,66.88,43,11,20.02,few clouds
168,Muzhi,RU,65.3667,64.6667,22.12,95,100,13.82,snow
169,Sechura,PE,-5.5569,-80.8222,66.0,80,100,13.58,overcast clouds
170,Chipinge,ZW,-20.1883,32.6236,59.65,91,97,7.07,light rain
171,Veinticinco De Mayo,AR,-35.4323,-60.1727,76.98,47,79,9.91,broken clouds
172,Kamskiye Polyany,RU,55.4307,51.4171,36.41,96,100,16.04,light rain
173,Tahoua,NE,14.8888,5.2692,82.44,19,8,4.92,clear sky
174,General Roca,AR,-39.0333,-67.5833,75.6,20,90,4.18,overcast clouds
175,Salvador,SV,13.8333,-88.9167,72.0,97,29,0.76,scattered clouds
176,Asino,RU,56.9979,86.1452,26.2,72,12,8.43,few clouds
177,Sao Joao Da Barra,BR,-21.6403,-41.0511,73.13,90,24,10.56,few clouds
178,Prainha,BR,-1.8,-53.48,74.28,92,100,2.82,overcast clouds
179,Acari,PE,-15.4311,-74.6158,69.1,73,29,3.2,scattered clouds
