City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
118,Tiznit,MA,2021-10-23 00:59:34,29.5833,-9.5,289.56,72,0,0.64
119,Hasaki,JP,2021-10-23 00:59:35,35.7333,140.8333,289.42,57,1,7.0
120,Narsaq,GL,2021-10-23 00:59:35,60.9167,-46.05,275.88,99,100,1.76
121,New Norfolk,AU,2021-10-23 00:59:36,-42.7826,147.0587,286.29,84,100,0.36
122,Terrak,NO,2021-10-23 00:59:36,65.087,12.3715,276.08,82,100,1.57
123,Acarau,BR,2021-10-23 00:59:36,-2.8856,-40.12,299.8,80,79,5.39
124,Zaqatala,AZ,2021-10-23 00:59:37,41.6336,46.6433,279.41,87,0,2.06
125,Tura,IN,2021-10-23 00:59:37,25.5198,90.2201,292.06,80,0,1.58
126,Melton Mowbray,GB,2021-10-23 00:59:37,52.7659,-0.8869,282.18,91,15,2.35
127,Fairbanks,US,2021-10-23 00:56:43,64.8378,-147.7164,280.15,61,20,0.0
128,Portland,US,2021-10-23 00:55:04,45.5234,-122.6762,287.12,90,90,0.45
129,Woodward,US,2021-10-23 00:59:38,36.4337,-99.3904,294.66,70,1,3.09
130,Ambon,ID,2021-10-23 00:59:38,-3.6954,128.1814,303.23,74,40,1.54
131,Wijnegem,BE,2021-10-23 00:59:39,51.2287,4.5161,283.13,93,0,1.34
132,Kautokeino,NO,2021-10-23 00:59:39,69.0125,23.0412,262.27,91,100,1.39
133,Thompson,CA,2021-10-23 00:59:39,55.7435,-97.8558,274.24,80,90,3.09
134,Uyemskiy,RU,2021-10-23 00:59:40,64.4743,40.8524,272.18,93,90,5.0
135,Iquitos,PE,2021-10-23 00:59:40,-3.7481,-73.2472,299.17,89,75,0.51
136,Nanortalik,GL,2021-10-23 00:59:40,60.1432,-45.2371,277.04,97,100,4.42
137,Faanui,PF,2021-10-23 00:59:41,-16.4833,-151.75,298.92,84,65,9.96
138,Qaanaaq,GL,2021-10-23 00:59:41,77.484,-69.3632,255.03,64,0,3.71
139,Hattiesburg,US,2021-10-23 00:59:15,31.3271,-89.2903,291.78,99,0,1.66
140,Vila Franca Do Campo,PT,2021-10-23 00:59:42,37.7167,-25.4333,294.38,84,93,2.82
141,Les Escoumins,CA,2021-10-23 00:59:42,48.1111,-69.0236,278.79,91,100,4.14
142,Avarua,CK,2021-10-23 00:57:00,-21.2078,-159.775,296.18,64,100,2.57
143,Chuy,UY,2021-10-23 00:59:43,-33.6971,-53.4616,287.03,74,100,2.65
144,Sorland,NO,2021-10-23 00:59:43,67.667,12.6934,278.04,51,100,1.13
145,Provideniya,RU,2021-10-23 00:59:43,64.3833,-173.3,270.8,75,100,3.64
146,Udachnyy,RU,2021-10-23 00:59:44,66.4167,112.4,261.7,97,99,1.27
147,Northam,GB,2021-10-23 00:59:44,51.0333,-4.2167,284.31,83,100,3.5
148,Katherine,AU,2021-10-23 00:59:44,-14.4667,132.2667,306.33,52,40,3.09
149,Skagen,DK,2021-10-23 00:59:45,57.7209,10.5839,284.31,54,0,10.67
150,Vaini,TO,2021-10-23 00:59:45,-21.2,-175.2,299.24,78,40,5.66
151,Bhatkal,IN,2021-10-23 00:59:45,13.9667,74.5667,299.05,85,100,0.9
152,Paamiut,GL,2021-10-23 00:59:46,61.994,-49.6678,274.93,73,7,8.11
153,Tocopilla,CL,2021-10-23 00:59:46,-22.092,-70.1979,289.32,67,35,2.53
154,Maltahohe,NA,2021-10-23 00:59:46,-24.8333,16.9833,283.9,43,0,4.73
155,Norman Wells,CA,2021-10-23 00:59:47,65.282,-126.8329,280.17,65,75,8.23
156,Strezhevoy,RU,2021-10-23 00:59:47,60.7333,77.5889,274.14,96,100,6.05
157,Talara,PE,2021-10-23 00:59:47,-4.5772,-81.2719,292.01,90,100,5.76
158,Ostrovnoy,RU,2021-10-23 00:59:48,68.0531,39.5131,274.41,65,100,10.17
159,Panuco,MX,2021-10-23 00:59:48,22.05,-98.1667,300.95,87,100,2.85
160,Polunochnoye,RU,2021-10-23 00:59:49,60.8697,60.4153,278.46,81,32,4.45
161,Okhotsk,RU,2021-10-23 00:59:49,59.3833,143.3,267.5,74,31,6.28
162,Vardo,NO,2021-10-23 00:59:49,70.3705,31.1107,274.98,59,100,9.25
163,Lakatoro,VU,2021-10-23 00:59:50,-16.0999,167.4164,301.38,74,41,1.63
164,Merritt Island,US,2021-10-23 00:59:50,28.5392,-80.672,299.26,84,1,0.0
165,Sept-Iles,CA,2021-10-23 00:55:08,50.2001,-66.3821,282.44,97,90,1.34
166,Namibe,AO,2021-10-23 00:59:51,-15.1961,12.1522,291.14,71,93,5.16
167,Mayo,US,2021-10-23 00:59:51,38.8876,-76.5119,290.34,85,98,4.1
168,Tezu,IN,2021-10-23 00:59:52,27.9167,96.1667,295.06,75,1,0.58
169,Broome,US,2021-10-23 00:59:52,42.2506,-75.833,281.26,75,100,0.45
170,Chicama,PE,2021-10-23 00:59:53,-7.8447,-79.1469,288.45,84,95,2.63
171,Te Anau,NZ,2021-10-23 00:59:53,-45.4167,167.7167,290.53,50,99,1.05
172,Lapeer,US,2021-10-23 00:59:53,43.0514,-83.3188,280.9,87,1,0.0
173,Pali,IN,2021-10-23 00:59:54,25.7667,73.3333,293.89,64,0,3.46
174,East London,ZA,2021-10-23 00:59:54,-33.0153,27.9116,290.23,82,95,3.5
175,Grand Gaube,MU,2021-10-23 00:59:54,-20.0064,57.6608,295.58,85,80,1.34
176,Vero Beach,US,2021-10-23 00:57:53,27.6386,-80.3973,299.28,85,3,2.27
177,Katsuura,JP,2021-10-23 00:59:55,35.1333,140.3,290.21,59,3,6.09
178,Majalgaon,IN,2021-10-23 00:59:55,19.15,76.2333,292.66,75,16,0.97
179,Camabatela,AO,2021-10-23 00:59:56,-8.1881,15.375,290.27,98,100,1.05
180,Horsham,GB,2021-10-23 00:59:56,51.064,-0.3272,283.44,73,0,1.03
181,Banff,CA,2021-10-23 00:57:01,51.1762,-115.5698,281.72,70,100,3.6
182,Batemans Bay,AU,2021-10-23 00:59:57,-35.7167,150.1833,301.04,41,87,2.69
183,Pitimbu,BR,2021-10-23 00:59:57,-7.4706,-34.8086,299.48,78,16,4.71
184,Sao Filipe,CV,2021-10-23 00:59:57,14.8961,-24.4956,300.21,65,0,2.23
185,Bhikangaon,IN,2021-10-23 00:59:58,21.8667,75.95,293.41,64,0,0.58
186,Imuris,MX,2021-10-23 00:59:58,30.7833,-110.8667,295.51,30,9,2.82
187,Loikaw,MM,2021-10-23 00:59:58,19.6742,97.2094,292.97,96,96,0.61
188,Baykit,RU,2021-10-23 00:59:59,61.67,96.37,274.57,79,100,5.19
189,Los Llanos De Aridane,ES,2021-10-23 00:59:59,28.6585,-17.9182,292.01,78,20,0.45
190,Pimentel,PE,2021-10-23 01:00:00,-6.8367,-79.9342,291.2,87,100,5.66
191,Cherskiy,RU,2021-10-23 01:00:00,68.75,161.3,255.92,96,100,1.5
192,Iqaluit,CA,2021-10-23 01:00:01,63.7506,-68.5145,269.65,86,100,2.68
193,Tuy Hoa,VN,2021-10-23 00:55:18,13.0833,109.3,298.35,91,100,2.76
194,Grand-Santi,GF,2021-10-23 01:00:02,4.25,-54.3833,297.09,92,100,1.34
195,Outlook,CA,2021-10-23 01:00:03,51.5001,-107.0513,278.37,47,9,7.18
196,Houston,US,2021-10-23 00:59:29,29.7633,-95.3633,300.4,77,90,3.13
197,Linares,CL,2021-10-23 01:00:04,-35.85,-71.6,281.61,63,0,1.77
198,Nizhniy Odes,RU,2021-10-23 01:00:05,63.6445,54.856,275.94,85,100,5.4
199,Vilhena,BR,2021-10-23 01:00:07,-12.7406,-60.1458,294.26,95,100,1.46
200,Boende,CD,2021-10-23 01:00:07,-0.2167,20.8667,293.64,95,96,0.72
201,Dicabisagan,PH,2021-10-23 01:00:08,17.0818,122.4157,300.34,81,66,3.08
202,Chokurdakh,RU,2021-10-23 01:00:09,70.6333,147.9167,249.37,99,99,1.32
203,Eureka,US,2021-10-23 00:56:41,40.8021,-124.1637,288.5,74,100,0.45
204,Baie-Comeau,CA,2021-10-23 01:00:10,49.2168,-68.1489,283.2,100,90,3.09
205,Ploemeur,FR,2021-10-23 01:00:11,47.7333,-3.4333,284.72,95,0,2.06
206,Hamilton,US,2021-10-23 00:55:20,39.1834,-84.5333,285.24,96,100,0.89
207,Cuenca,EC,2021-10-23 00:56:47,-2.8833,-78.9833,286.22,100,75,3.6
208,Tabat,ID,2021-10-23 01:00:12,-2.635,115.2274,300.83,80,67,0.39
209,Tarakan,ID,2021-10-23 01:00:12,3.3,117.6333,298.87,89,40,1.54
210,Puerto Narino,CO,2021-10-23 01:00:13,-3.7703,-70.3831,297.45,91,100,0.37
211,Daru,PG,2021-10-23 01:00:14,-9.0763,143.2092,302.5,61,16,5.07
212,Atikokan,CA,2021-10-23 01:00:15,48.7555,-91.6216,274.47,82,100,1.76
213,Komsomolskiy,UZ,2021-10-23 01:00:15,40.4272,71.7189,276.83,70,16,1.03
214,Svetlyy,RU,2021-10-23 01:00:16,54.675,20.1347,278.18,69,25,9.41
215,Yatou,CN,2021-10-23 01:00:16,37.15,122.3833,286.66,52,100,2.32
216,Saint-Pierre,RE,2021-10-23 01:00:16,-21.3393,55.4781,295.95,78,0,3.6
217,Campoverde,PE,2021-10-23 01:00:17,-8.4753,-74.8058,302.24,55,15,1.9
218,Raduzhnyy,RU,2021-10-23 01:00:17,62.0961,77.475,273.36,95,100,5.87
219,Hammerfest,NO,2021-10-23 01:00:17,70.6634,23.6821,272.4,74,100,5.14
220,Chumikan,RU,2021-10-23 01:00:18,54.7183,135.315,278.09,68,81,10.08
221,Pavlohrad,UA,2021-10-23 01:00:18,48.5167,35.8667,282.68,66,34,3.46
222,Vysokopillya,UA,2021-10-23 01:00:19,47.4919,33.5306,284.36,77,98,3.28
223,Isangel,VU,2021-10-23 01:00:19,-19.55,169.2667,299.24,80,41,3.03
224,Malpe,IN,2021-10-23 01:00:19,13.35,74.7167,298.76,90,88,1.29
225,Vitim,RU,2021-10-23 01:00:20,59.4511,112.5578,275.58,76,89,3.99
226,Port Hardy,CA,2021-10-23 01:00:20,50.6996,-127.4199,282.25,87,90,3.09
227,Kholm,RU,2021-10-23 01:00:21,59.2667,32.85,276.98,84,96,5.8
228,Copiapo,CL,2021-10-23 01:00:21,-27.3667,-70.3333,284.98,66,58,1.51
229,High Level,CA,2021-10-23 01:00:21,58.5169,-117.136,279.07,54,100,4.04
230,College,US,2021-10-23 01:00:22,64.8569,-147.8028,275.08,84,100,0.77
231,Halmstad,SE,2021-10-23 01:00:22,56.6745,12.8568,282.77,66,1,7.2
232,Kirakira,SB,2021-10-23 01:00:23,-10.4544,161.9205,303.17,59,6,3.71
233,Souillac,MU,2021-10-23 01:00:23,-20.5167,57.5167,295.57,84,52,5.33
234,Husavik,IS,2021-10-23 01:00:24,66.0449,-17.3389,275.4,94,100,3.75
235,Salinopolis,BR,2021-10-23 01:00:24,-0.6136,-47.3561,299.26,87,100,3.85
236,Anadyr,RU,2021-10-23 01:00:24,64.75,177.4833,262.43,85,75,6.71
237,Bathsheba,BB,2021-10-23 01:00:25,13.2167,-59.5167,300.53,72,100,9.13
238,Bowen,AU,2021-10-23 01:00:25,-20.0167,148.2333,300.68,67,100,4.26
239,Hvide Sande,DK,2021-10-23 01:00:26,56.0045,8.1294,281.48,66,36,14.28
240,Touros,BR,2021-10-23 01:00:26,-5.1989,-35.4608,299.23,80,34,4.66
241,Codrington,AU,2021-10-23 01:00:26,-38.2667,141.9667,286.48,81,35,6.43
242,King City,US,2021-10-23 01:00:27,36.2127,-121.126,291.72,73,100,3.96
243,Ust-Kuyga,RU,2021-10-23 01:00:27,70.0167,135.6,250.5,100,94,1.03
244,Aksarka,RU,2021-10-23 01:00:27,66.5606,67.7975,269.72,97,99,3.02
245,Barsovo,RU,2021-10-23 01:00:28,61.1667,73.1667,274.22,94,100,6.82
246,Brunswick,US,2021-10-23 00:57:39,41.2381,-81.8418,282.67,85,100,0.45
247,Donegal,IE,2021-10-23 01:00:28,54.65,-8.1167,280.79,92,98,3.51
248,Plouzane,FR,2021-10-23 01:00:29,48.3833,-4.6167,279.18,93,0,1.54
249,Cabedelo,BR,2021-10-23 01:00:29,-6.9811,-34.8339,299.25,78,14,5.04
250,Lompoc,US,2021-10-23 01:00:30,34.6391,-120.4579,294.89,86,90,4.12
251,Bubaque,GW,2021-10-23 01:00:30,11.2833,-15.8333,301.56,76,76,5.28
252,Port Shepstone,ZA,2021-10-23 01:00:31,-30.7414,30.455,291.51,85,46,2.69
253,Urucui,BR,2021-10-23 01:00:31,-7.2294,-44.5561,299.15,83,100,1.13
254,Verkhnyaya Inta,RU,2021-10-23 01:00:31,65.9811,60.3094,272.6,95,100,3.65
255,Constitucion,CL,2021-10-23 01:00:32,-35.3333,-72.4167,282.93,85,0,6.01
256,Zyryanka,RU,2021-10-23 01:00:32,65.75,150.85,254.56,81,44,1.01
257,Hays,US,2021-10-23 01:00:32,30.0502,-98.0336,298.07,78,1,2.78
258,Bhag,PK,2021-10-23 01:00:33,29.0415,67.8239,295.54,17,0,5.11
259,Abu Samrah,SY,2021-10-23 01:00:33,35.3029,37.1841,290.57,48,0,0.61
260,Simbakoro,SL,2021-10-23 01:00:34,8.6,-11.0167,294.35,100,100,0.55
261,Rocha,UY,2021-10-23 01:00:34,-34.4833,-54.3333,287.74,84,100,2.0
262,Pevek,RU,2021-10-23 01:00:34,69.7008,170.3133,262.51,90,100,3.02
263,Shangqiu,CN,2021-10-23 01:00:35,34.45,115.65,286.53,50,72,2.24
264,Asau,RO,2021-10-23 01:00:35,46.4333,26.4,285.24,71,100,1.9
265,Porto Novo,BJ,2021-10-23 01:00:35,6.4965,2.6036,298.7,84,100,2.88
266,Hambantota,LK,2021-10-23 01:00:36,6.1241,81.1185,296.34,100,20,1.54
267,Gorom-Gorom,BF,2021-10-23 00:55:54,14.4439,-0.2361,304.67,33,95,0.36
268,Ancud,CL,2021-10-23 01:00:36,-41.8697,-73.8203,282.27,70,93,4.43
269,Suntar,RU,2021-10-23 01:00:36,62.1444,117.6319,275.18,84,25,3.69
270,Longyearbyen,SJ,2021-10-23 01:00:37,78.2186,15.6401,265.06,79,20,0.51
271,Thunder Bay,CA,2021-10-23 01:00:35,48.4001,-89.3168,277.35,72,90,2.86
272,Charters Towers,AU,2021-10-23 01:00:37,-20.1,146.2667,306.32,30,62,4.79
273,Aquiraz,BR,2021-10-23 01:00:38,-3.9014,-38.3911,300.47,83,16,3.86
274,Nome,US,2021-10-23 00:56:31,64.5011,-165.4064,273.51,74,100,4.69
275,Honningsvag,NO,2021-10-23 01:00:38,70.9821,25.9704,275.12,58,100,7.61
276,Shaoyang,CN,2021-10-23 01:00:39,27.2315,111.4525,286.24,73,16,1.3
277,Olinda,BR,2021-10-23 01:00:39,-8.0089,-34.8553,299.15,79,15,4.29
278,Tongchuan,CN,2021-10-23 01:00:39,35.0806,109.0897,282.39,72,100,2.07
279,Minot,US,2021-10-23 00:58:21,48.2325,-101.2963,277.66,49,6,3.54
280,Severo-Kurilsk,RU,2021-10-23 01:00:40,50.6789,156.125,278.63,69,53,4.75
281,Akdagmadeni,TR,2021-10-23 01:00:40,39.6603,35.8836,279.07,44,0,0.9
282,Altus,US,2021-10-23 01:00:37,34.6381,-99.334,299.88,55,1,4.12
283,Padang,ID,2021-10-23 01:00:41,-0.9492,100.3543,297.18,79,93,0.72
284,Nhulunbuy,AU,2021-10-23 01:00:41,-12.2333,136.7667,305.49,58,40,4.63
285,Leningradskiy,RU,2021-10-23 01:00:42,69.3833,178.4167,258.33,85,31,3.66
286,Pa Sang,TH,2021-10-23 01:00:42,18.5262,98.9394,298.72,61,100,0.15
287,Ebolowa,CM,2021-10-23 01:00:42,2.9,11.15,292.99,100,100,0.69
288,Mareeba,AU,2021-10-23 01:00:43,-17.0,145.4333,306.11,31,30,3.55
289,Skala,PL,2021-10-23 01:00:43,50.2305,19.8536,281.51,65,20,7.2
290,Monrovia,LR,2021-10-23 01:00:43,6.3005,-10.7969,298.13,87,100,1.55
291,La Chapelle-Sur-Erdre,FR,2021-10-23 01:00:44,47.2958,-1.5531,278.07,91,4,0.51
292,Ostrozac,BA,2021-10-23 01:00:44,44.9086,15.9403,284.24,94,62,0.43
293,Kropotkin,RU,2021-10-23 01:00:44,45.4375,40.5756,283.6,63,0,2.87
294,Vila Velha,BR,2021-10-23 01:00:45,-20.3297,-40.2925,293.81,83,99,1.13
