City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
512,Beberibe,BR,80.64,broken clouds,-4.1797,-38.1306,Villa Arte Pousada Morro Branco
515,Floriano,BR,85.91,overcast clouds,-6.7669,-43.0225,Hotel Maktub
519,Mangrol,IN,77.43,clear sky,21.1167,70.1167,Hotel The Royal Honours
520,Mogadishu,SO,79.02,few clouds,2.0371,45.3438,Hotel Juba
544,Tucuma,BR,79.41,scattered clouds,-0.1833,-50.05,
550,Puerto Suarez,BO,77.52,overcast clouds,-18.95,-57.8,Hotel casa real
553,Joao Pinheiro,BR,75.88,overcast clouds,-17.7425,-46.1725,Hotel Santos
562,Yarada,IN,82.72,haze,17.65,83.2667,Vishranti
563,Baracoa,CU,77.31,few clouds,20.3467,-74.4958,Hostal Rio Miel
564,Pombal,BR,83.08,clear sky,-6.7703,-37.8017,Pousada Shalom
565,Rivadavia,AR,79.27,broken clouds,-33.1905,-68.4608,Posada Del Fin Del Mundo
570,Marsh Harbour,BS,78.55,broken clouds,26.5412,-77.0636,Abaco Beach Resort
571,Mango,US,77.02,clear sky,27.9797,-82.3065,Hilton Garden Inn Tampa East/Brandon
576,Goure,NE,82.02,clear sky,13.9835,10.2704,
579,The Valley,AI,82.26,clear sky,18.217,-63.0578,CeBlue Villas & Beach Resort
584,Bartica,GY,77.32,broken clouds,6.4,-58.6167,Sloth Island Nature Resort
585,Itarema,BR,79.81,broken clouds,-2.9248,-39.9167,"Sea Lounge! Bar, Club & Restaurant"
590,Trairi,BR,79.84,scattered clouds,-3.2778,-39.2689,janelas do mar
593,Dakar,SN,81.48,broken clouds,14.6937,-17.4441,Redface Studios Meublés
597,Saint-Louis,SN,86.09,overcast clouds,16.3333,-15.0,
598,Zabid,YE,81.61,clear sky,14.1951,43.3152,مغرب التريبه
601,Kidal,ML,82.49,broken clouds,18.4411,1.4078,
602,Damaturu,NG,79.66,overcast clouds,11.747,11.9608,"Hayas Guest Inn, Central Roundabout, Gujba Road"
622,West Bay,KY,84.27,few clouds,19.3667,-81.4167,Calypso Cove
625,Kattivakkam,IN,80.69,overcast clouds,13.2167,80.3167,Euronova Freezer
631,Puerto Quijarro,BO,79.63,overcast clouds,-17.7833,-57.7667,Hotel palance
633,Umm Lajj,SA,78.12,clear sky,25.0213,37.2685,Moon light Furnished Units
634,Terenos,BR,82.11,broken clouds,-20.4422,-54.8603,Rancho Pitzer
